SL. No.,,,Complaint Description,,,,Category,CategoryType,Priority,,,,,,
751,,,Cloth hanging.children playing affected.,,,,Housekeeping,Bush Cutting Required,low,,,,,,
752,,,Door damage,,,,Woodwork,Repairs to bath & lat. Doors,high,,,,,,
753,,,Water is not there in any of the tap in house,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
754,,,Common Toilet seat cover damage,,,,Civil,Miscellaneous Work,low,,,,,,
755,,,Garden tap damagr,,,,Civil,Miscellaneous Work,high,,,,,,
756,,,"Bed roon 1 st and 2nd door wood damaged due to  Insect, spray required urgently",,,,Woodwork,Bedroom-1 door frame repair,high,,,,,,
757,,,Back drain cleaning ,,,,Civil,Miscellaneous Work,low,,,,,,
758,,,Bathroom & Toilet sepach ,,,,Civil,Miscellaneous Work,high,,,,,,
759,,,Plant cutting required around kitchen and front area,,,,Housekeeping,Bush Cutting Required,low,,,,,,
760,,,Street light not working in front of N81,,,,Electrical,Street light-Not working,high,,,,,,
761,,,New Allotment,,,,Civil,New Allotment,high,,,,,,
762,,,"No water in overhead tank. Morning regular work stopped in residence. Complaint is here- by lodged for tanker as well as to have sufficient water supply . In case tanker not available , please resume supply to fill up tanks",,,,Water and Plumbing Work,Additional Water request,low,,,,,,
763,,,Leakage from top bathroom and dinning ,,,,Civil,Repairs to roof leakage,high,,,,,,
764,,,Switch not working first room ,,,,Electrical,Celing fan-Slow running,high,,,,,,
765,,,Ac. Switch. Not. Working. Billards. Room,,,,Electrical,AC power point-AC Switch burnt,low,,,,,,
766,,,Waterarenearquaterverybadcent,,,,Civil,Back Drain Damage,high,,,,,,
767,,,Bush cutting required beside my balcony,,,,Housekeeping,Bush Cutting Required,high,,,,,,
768,,,Staff room  2 nose fan not workings and  1 Led lights  not workings,,,,Electrical,Celing fan-Not working,low,,,,,,
769,,,Bathroom & toilet both ventilation damage ,,,,Civil,Bathroom ventilator frame repair,high,,,,,,
770,,,Kitchen ka drain pipe and jali damage hu  Gaya h or jis karan RAT house me aa jata h  or Sink k niche me Wall bhi dena h jis se RAT nahi aaye ga,,,,Civil,Repairs to kitchen sink,low,,,,,,
771,,,Toilet ,,,,Woodwork,Outhouse Toilet door frame repair,low,,,,,,
772,,,Wash basin tap leakage ,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
773,,,Kitchen water tap water drop after closing ,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
774,,,2nd entrance chokhat with door repair,,,,Woodwork,Outhouse door frame repair,high,,,,,,
775,,,Telco lHOUSE ROOM 5 SILING FAN S,,,,Electrical,Celing fan-Slow running,low,,,,,,
776,,,System is not working,,,,Civil,Miscellaneous Work,high,,,,,,
777,,,Living  room  window  glass broken  and all room  window clay repair ,,,,Civil,Bedroom-1 window glass pane fixing,high,,,,,,
778,,,"Complete door open out from hinge area, dislocated from door frame.Near miss case,Very unsafe condition, any body can get hurt.
Pl arrange repairing on urgent basis .",,,,Woodwork,Hinges of doors - Repair,high,,,,,,
779,,,DINING Hall back side Catchpit Jam Telco House ,,,,Housekeeping,Catchpit Jam,low,,,,,,
780,,,Baranda floor repair,,,,Civil,Miscellaneous Work,high,,,,,,
781,,,Baranda pillar repair,,,,Civil,Miscellaneous Work,high,,,,,,
782,,,Kitchen slab wall broken need repair ,,,,Civil,Kitchen brick wall repair,low,,,,,,
783,,,Window repair ,,,,Woodwork,Bedroom-2 window hinge repair,high,,,,,,
784,,,Peace control at in side house ,,,,Civil,Miscellaneous Work,low,,,,,,
785,,,Existing PVC tank fixing and connection at Nildih Puja ground,,,,Water and Plumbing Work,Other Misc. requests,low,,,,,,
786,,,All equipment is fluctuating ,,,,Electrical,Power cable/wire/catenery-Burning smell,high,,,,,,
787,,,"Room -13,geyser  not workings",,,,Electrical,Gyser-Not woking,low,,,,,,
788,,,Kitchen ka plaster damage water kitchen floor open aa jata hai,,,,Civil,Kitchen bow handle repair,low,,,,,,
789,,,Bathroom ka lock and hinge damaged,,,,Civil,Bathroom window hinge repair,low,,,,,,
790,,,The front drain Nala is filled with dry leaves and other waste becoming a breeding place for mosquitoes and rats needs cleaning.,,,,Housekeeping,Front Drain Jam,high,,,,,,
791,,,Room no-10 Corridor light not workings,,,,Electrical,Corridor/porch light-Not working,low,,,,,,
792,,,Taps are not working properly narrow water supply. ,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
793,,,Wash basin waste pipe to be replaced,,,,Water and Plumbing Work,Improper function of  Wash Basin/Urinal Waste pipe,high,,,,,,
794,,,"Bill is coming very high, Meter is to  be checked",,,,Electrical,Metre-Not working,high,,,,,,
795,,,Bathroom handle and lock repair need,,,,Woodwork,Bathroom bow handle repair,high,,,,,,
796,,,Bathroom gate repair or change because rates  🐀 coming on the bedroom and kitchen ,,,,Woodwork,Bathroom door frame repair,low,,,,,,
797,,,Garbage cleaning like leaves all collected behind the back door not being collected. ,,,,Housekeeping,Improper Cleaning,high,,,,,,
798,,,"Kitchen roof heavy leakage.old & repeat issue.

Very unhygienic and difficult situation during rain .full ceiling leakage.

Please contact if room lock -7319942708",,,,Civil,Repairs to roof leakage,high,,,,,,
799,,,Water not available ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
800,,,Water pressure from its very weak,,,,Water and Plumbing Work,Improper function of Water Tap,low,,,,,,
801,,,Catchpit damage,,,,Civil,Catchpit Covers Damaged/missing,high,,,,,,
802,,,War room plant 1 door touching floor,,,,Civil,Drawing Room door frame repair,high,,,,,,
803,,,repair of pathway and installation of pebble block,,,,Civil,Repairs to approach path ( road to gate ),high,,,,,,
804,,,Bedroom 1 windows,,,,Woodwork,Tower bolt of windows - Repair,high,,,,,,
805,,,Holder broken ,,,,Electrical,Holder-angular holder not working,high,,,,,,
806,,,Bush and grass needs to be cut in school because snake has been spotted.,,,,Housekeeping,Bush Cutting Required,high,,,,,,
807,,,please call for repairing 9204212877 ( Partha das ),,,,Woodwork,Drawing Room door easing,high,,,,,,
808,,,"Unwanted plants and moss gathered  on window and door sunshades, causing wet sunshade and insects on that.",,,,Civil,Miscellaneous Work,low,,,,,,
809,,,The hinge of dining/ hall door hinge broken. Unable to open door properly ,,,,Woodwork,Dining Room door hinge repair,high,,,,,,
810,,,My quarter is side quarter & side window damage please fix as soon as possible,,,,Woodwork,Bedroom-2 window shutter repair,high,,,,,,
811,,,Wash basin leakage,,,,Water and Plumbing Work,Wash Basin to be checked,high,,,,,,
812,,,Water leakage from the kitchen sink and the leakage water going to the dying room ,,,,Water and Plumbing Work,Area Water Contamination,high,,,,,,
813,,,"Water is not being supplied to our area.
There are 6 shops in the area, all of them are facing water supply shortage.",,,,Water and Plumbing Work,Area Drinking Water Scarcity,low,,,,,,
814,,,Water not coming since 10 days what is the management doing? Are we suppose to pat for it if you are not provding us with basic amenities??,,,,Water and Plumbing Work,Area Drinking Water Scarcity,high,,,,,,
815,,,We need water for our daily use please provide us with water tanker ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
816,,,"Outer road, Shop no 1 to 6 water pipeline chock age since past 15 days.",,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,high,,,,,,
817,,,"Water point connection at Durga Puja Maidan,Road no 26",,,,Water and Plumbing Work,Other Misc. requests,low,,,,,,
818,,,Fan not working ,,,,Electrical,Celing fan-Not working,high,,,,,,
819,,,Toilet flush need to be replaced. Not working at all,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
820,,,Toilet door hanging out ,,,,Woodwork,Outhouse Toilet door frame repair,low,,,,,,
821,,,Water has been finished ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
822,,,There are 3 places in the house where termites have come out,,,,Housekeeping,Antitermite Treatment,high,,,,,,
823,,,Kitchen window glass has been damaged,,,,Civil,Kitchen window glass pane fixing,low,,,,,,
824,,,Bathroom switch and Room 2(near to bathroom )light switch not working properly.,,,,Electrical,Switch-Not working,high,,,,,,
825,,,Kitchen water pipe lik repair ,,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),low,,,,,,
826,,,"Due to rain, there is water leakage/ seepage in both my room and kitchen area also",,,,Civil,Repairs to roof leakage,low,,,,,,
827,,,My shower pipe leakage ,,,,Water and Plumbing Work,Improper function of Shower,low,,,,,,
828,,,"Balcony electrcal wiring is sagging,holder is also loose and not working.
Tube light wiring in dining area also loose.",,,,Electrical,Other Misc.Request - old cases,low,,,,,,
829,,,Need civil work ,,,,Civil,Catchpit to manhole hume pipe damage,low,,,,,,
830,,,"Water shortage ,need urgent supply ",,,,Water and Plumbing Work,Additional Water request,high,,,,,,
831,,,The lower hinge of the main gate is broken and has to be replaced ,,,,Steel Works,MS Gate - Repair,low,,,,,,
832,,,In top floor kitchen chimney is covered by plywood.but still outside dast are coming beside the empty space of plywood. In cooking time it is very bad condition. So i need to block this permanently so that outside dast are not coming.,,,,Civil,Misc. requests,high,,,,,,
833,,,"Speed breaker painting at Sec-6 for Durga puja festival, 2024",,,,Civil,Miscellaneous Work,high,,,,,,
834,,,Staircase light not glowing,,,,Electrical,Light-not working,high,,,,,,
835,,,Every door and window are not locked properly. Still their is gap after close. Some door has no locking system.some of them screw are removed.,,,,Woodwork,Misc. requests,high,,,,,,
836,,,"Hall,,2,mess basin room, nopowersingle, houe urgent",,,,Electrical,No power-Single house,high,,,,,,
837,,,Kitchen area,,,,Electrical,Power point-Not working,high,,,,,,
838,,,Kitchen. Me. Water. Tankar. Bej. Dige,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
839,,,"N146/4 , Water not available",,,,Water and Plumbing Work,Additional Water request,high,,,,,,
840,,,Main Door and side door infected with termites. Needs replacement.,,,,Woodwork,Drawing Room door frame repair,high,,,,,,
841,,,The switch board is sparking.,,,,Electrical,Electric Sparking,high,,,,,,
842,,,No power in verandah,,,,Electrical,Other Misc.Request - old cases,low,,,,,,
843,,,Regulator knob broken,,,,Electrical,Celing fan-Regulator not functioning,high,,,,,,
844,,,Pls supply tanker as soon as possible water is not coming out of the tap since 5:00,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
845,,,Water come out side,,,,Civil,Back Drain Damage,low,,,,,,
846,,,When we fill water at the tank all water absorbed by ground and gets empty so new tank to be made,,,,Civil,Repairing ground water tank,high,,,,,,
847,,,Garage seepage,,,,Civil,Repairs to wall seepage other than bathroom & latrine,high,,,,,,
848,,,My entrance pathway is damaged by the rain and it's very difficult to enter ,,,,Civil,Repairs to pathway inside bungalows,high,,,,,,
849,,,Entry door hinges damage from time of replacement. ,,,,Civil,Hinges of doors - Repair,low,,,,,,
850,,,"Back side of home, just behind main drain there is Mud Creation is going on. This is due to waste water is spreading through over the jam drainage system of behind home.",,,,Housekeeping,Improper Cleaning,high,,,,,,
851,,,Side Drain cover/Slab damage ,,,,Civil,Front Drain Damage,low,,,,,,
852,,,No cover on manhole.,,,,Civil,Manhole Covers Damaged/missing,high,,,,,,
853,,,"Hall-1 ladies line, room no2/1 termite in cupboard",,,,Housekeeping,Antitermite Treatment,high,,,,,,
854,,,"Hall,,2,, one street, light_not, working",,,,Electrical,Street light-Not working,high,,,,,,
855,,,"Repairs to leaky over head tank

Address 
Sanjeev Kumar 
P TYPE 27/15, River view Telco East singhbhum Jamshedpur Near millennium park",,,,Civil,Repairs to leaky Over Head tank,high,,,,,,
856,,,Bed room 2 door not lock,,,,Woodwork,Repairs to Main Entrance door,high,,,,,,
857,,,Room leakage is from last two years I have raised complain twice but work r not done please see it ,,,,Civil,Repairs to roof leakage,low,,,,,,
858,,,Front drain is jammed of my quarter.,,,,Housekeeping,Front Drain Jam,high,,,,,,
859,,,Wall Outlook Surface Looking Bad,,,,Civil,Dining Room Touch up painting,low,,,,,,
860,,,Toilet Walls Not Looking Good Needs Touch Up ,,,,Civil,Toilet-2 Touch up painting,low,,,,,,
861,,,Bathroom tap has not been functioning properly ,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
862,,,Ground floor stair light not working,,,,Electrical,Light-not working,high,,,,,,
863,,,Leakage from wash basin tap.,,,,Water and Plumbing Work,Improper function of Water Tap,low,,,,,,
864,,,"From last 4 days, water not coming in Bathroom and Toilet in entire building. Water coming only in Morning & evening for 2-3 hrs. only. Water tanker also supplied water but water was empty within 1 hour. In last 10 years we have not faced such type issue.There may be leakage in water tank of the building.",,,,Water and Plumbing Work,Area Drinking Water Scarcity,low,,,,,,
865,,,"From last 4 days Water coming only in 2 hrs in morning & 2 hours in evening in Bath room and Toilet in entire building. 
Water Tanker filling water every day but water not coming after 1 hrs of filling. We never faced such type of issue in last 10 years. Water was coming 24 hrs .
So there may be leakage of water tank of the building.",,,,Water and Plumbing Work,Area Drinking Water Scarcity,high,,,,,,
866,,,Bathroom shelf broken,,,,Civil,Bathroom brick wall repair,high,,,,,,
867,,,Flush tank pipe water leakage,,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,high,,,,,,
868,,,The kitchen drain is choked ,,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,high,,,,,,
869,,,Mosquito makes holes around the building. ,,,,Housekeeping,Mosquito Related Complaint ,high,,,,,,
870,,,Proper house keeping required not done properly. ,,,,Housekeeping,Improper Cleaning,high,,,,,,
871,,,Celing fan not working at security hut no 4,,,,Electrical,Celing fan-Not working,low,,,,,,
872,,,In outhouse one tap is stopped by stop coke and coke came out during water supply causing waste of water.,,,,Water and Plumbing Work,Improper function of Stop cock,high,,,,,,
873,,,Street light cover open and wire exposed ,,,,Electrical,Street light-Fitting Tilted,low,,,,,,
874,,,In garden area supply water comming out from damage pipe. Huge loss of water.,,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,low,,,,,,
875,,,Celling seepage leking,,,,Civil,Miscellaneous Work,low,,,,,,
876,,,Hinge was damaged . Need to be replaced with new ones ,,,,Civil,Bedroom-2 window hinge repair,low,,,,,,
877,,,Need to be fixed ,,,,Civil,Kitchen window hinge repair,low,,,,,,
878,,,Roof leakage and false roof damage in one of the bedrooms ,,,,Civil,Repairs to roof leakage,high,,,,,,
879,,,Ceiling plaster broken ,,,,Civil,Dining Room ceiling plaster,high,,,,,,
880,,,Dustbin full inside the school campus,,,,Housekeeping,"Bin full, requires lifting",high,,,,,,
881,,,Kitchen ceiling plaster broken ,,,,Civil,Kitchen ceiling plaster,low,,,,,,
882,,,Capacitor to be change.,,,,Electrical,Celing fan-Slow running,high,,,,,,
883,,,9204705073,,,,Water and Plumbing Work,Cleaning of Over Head Tank,high,,,,,,
884,,,Bathroom drainage jaam ho gaya...water blockage ho raha hai,,,,Housekeeping,Bathroom Jam,low,,,,,,
885,,,Bathroom jam,,,,Housekeeping,Bathroom Jam,high,,,,,,
886,,,Kitchen back side catchpit jam ,,,,Housekeeping,Catchpit Jam,high,,,,,,
887,,,"Need additional water tanker urgent pls
",,,,Water and Plumbing Work,Additional Water request,high,,,,,,
888,,,Back side coutyard damaged. Rat hole,,,,Civil,Miscellaneous Work,low,,,,,,
889,,,Front gate floor damaged.,,,,Civil,Miscellaneous Work,low,,,,,,
890,,,The whole door frame of the washroom needs to be changed because it's about to fall.,,,,Woodwork,Bathroom door frame repair,low,,,,,,
891,,,Cemented Door Frame Broken. Needs to repair.,,,,Civil,Bathroom door frame repair,high,,,,,,
892,,,Water from the drainage is getting collected outside my kitchen window. ,,,,Civil,Back Drain Damage,low,,,,,,
893,,,Light cleaning ,,,,Electrical,Light-not working,low,,,,,,
894,,,Not proper adjust of iron gate ,,,,Civil,Boulder Wall - Repair,low,,,,,,
895,,,"Kitchen, balcony and room light not working ",,,,Electrical,Light-not working,high,,,,,,
896,,,Bathroom drainage block causing waste water block ,,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,low,,,,,,
897,,,Kitchen sink pipe to be changed ,,,,Water and Plumbing Work,Brackets for Wash basin (Replacement),low,,,,,,
898,,,A small kid can fall inside the drain hole very unsafe.,,,,Civil,Front Drain Damage,high,,,,,,
899,,,"Vibrating as and when AC is switched on, noisy",,,,Electrical,AC power point-AC Switch burnt,low,,,,,,
900,,,Toilet jam,,,,Housekeeping,Toilet Jam,high,,,,,,
901,,,Floor damage main intrance to insert to home,,,,Civil,Outhouse floor repair,high,,,,,,
902,,,"To be checked and repaired for any short ckt, plugs, holders ",,,,Electrical,Light-not working,low,,,,,,
903,,,Please Collect Key From Town Admin.,,,,Electrical,New Allotment,high,,,,,,
904,,,Garden. Area. Water. Tape. Not. Working,,,,Water and Plumbing Work,Improper function of Water Tap,low,,,,,,
905,,,Main Door Side Door Damage  Collect Key For Town Office,,,,Woodwork,Repairs to Main Entrance door,high,,,,,,
906,,,Allotee Already Shifted,,,,Steel Works,MS Gate - Repair,high,,,,,,
907,,,Back drenege cleaning ,,,,Civil,Catchpit to manhole hume pipe damage,low,,,,,,
908,,,Bathroom Jaam,,,,Housekeeping,Bathroom Jam,high,,,,,,
909,,,Holder needs to be replaced.,,,,Electrical,Holder-angular holder not working,high,,,,,,
910,,,Back side floor demege ,,,,Civil,Repairs to steps,low,,,,,,
911,,,New Allotment,,,,Civil,New Allotment,high,,,,,,
912,,,new Allotment,,,,Electrical,New Allotment,high,,,,,,
913,,,Slab repairing ,,,,Civil,Repairs to kitchen sink,high,,,,,,
914,,,"Toilet door,hinge,handle, chitkini",,,,Woodwork,Toilet-1 door shutter repair,high,,,,,,
915,,,Catch pit jam ,,,,Housekeeping,Catchpit Jam,high,,,,,,
916,,,"Inside plant in the SPD office , in TS building first floor,AC power is tripping down from yesterday.",,,,Electrical,Power point-Not working,high,,,,,,
917,,,Celing fan in bedroom running slow,,,,Electrical,Celing fan-Slow running,high,,,,,,
918,,,"Celing fan is noisy intermittently, while fan running",,,,Electrical,Celing fan-Noise,high,,,,,,
919,,,No power in fan  and main switch direct,,,,Electrical,Celing fan-Not working,high,,,,,,
920,,,Hall room fan not working,,,,Electrical,Celing fan-Not working,high,,,,,,
921,,,Wall damage,,,,Civil,Boulder Wall - Repair,high,,,,,,
922,,,Half room power not working ,,,,Electrical,No power-Single house,high,,,,,,
923,,,Water leakage from room rooftop ,,,,Civil,Repairs to roof leakage,high,,,,,,
924,,,Over Head  tank overflow ,,,,Water and Plumbing Work,Over Flow From Over Head Tank,high,,,,,,
925,,,Bathroom and lawn ceiling leakage ,,,,Civil,Bathroom ceiling plaster,low,,,,,,
926,,,Broken ceiling in front of kitchen door ,,,,Civil,Kitchen ceiling plaster,high,,,,,,
927,,,Door hinge broken ,,,,Civil,Bedroom-3 door hinge repair,high,,,,,,
928,,,Bathroom sewage area broken,,,,Civil,Bathroom floor repair,low,,,,,,
929,,,Bathrooms door hinge is damage,,,,Woodwork,Bathroom door hinge repair,high,,,,,,
930,,,TELCO HOUSE kinchen pot wash water leakage to be repaired ,,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),low,,,,,,
931,,,5A plug not working at ERC proto Assembly shop seating area,,,,Electrical,Power point-Not working,low,,,,,,
932,,,Toilet and washroom pipe seperated from clamps,,,,Civil,Repairs to choked outlet pipe at Toilet,low,,,,,,
933,,,Seepage in kitchen and bedroom. Need to be roof repair. ,,,,Civil,Repairs to roof leakage,low,,,,,,
934,,,"Side lock damage, front gate to be repaire.",,,,Civil,Repairs to gate pillar,high,,,,,,
935,,,"Bath room door wood rotten. 
Large hole at bottom, snake may enter",,,,Woodwork,Bathroom door easing,high,,,,,,
936,,,Bed room's ceiling fan not working,,,,Electrical,Celing fan-Not working,high,,,,,,
937,,,Roof cilling broken fully damaged.,,,,Civil,Miscellaneous Work,low,,,,,,
938,,,Front verandah roof leakage,,,,Civil,Repairs to roof leakage,high,,,,,,
939,,,Bathroom door repair ,,,,Woodwork,Bathroom door frame repair,high,,,,,,
940,,, flashing pipe out,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
941,,,Front floor repair,,,,Civil,Miscellaneous Work,high,,,,,,
942,,,Damaged ceiling ,,,,Civil,Dining Room ceiling plaster,high,,,,,,
943,,,Bathroom wall need to be repaired ,,,,Civil,Bathroom brick wall repair,high,,,,,,
944,,,No power ,,,,Electrical,No power-Complete block,high,,,,,,
945,,,There is no power in my building since half hour,,,,Electrical,No power-Complete block,high,,,,,,
946,,,MCV got tripped frequently ,,,,Electrical,Voltage-fluctuation,high,,,,,,
947,,,Stair case light not working on 4th floor,,,,Electrical,Stair case light-Lamp fuse,high,,,,,,
948,,,First floor neighbour facing sippage problem ,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
949,,,Ceiling fan not working ,,,,Electrical,Celing fan-Not working,high,,,,,,
950,,,No power in whole house as MCB is tripping.,,,,Electrical,No power-Single house,low,,,,,,
951,,,After sky sparkling current gon,,,,Electrical,No power-Single house,low,,,,,,
952,,,K4_1/13F fan remote not received,,,,Electrical,Celing fan-Regulator not functioning,low,,,,,,
953,,,No power at all in P17/14,,,,Electrical,No power-Complete Area,low,,,,,,
954,,,"Bathroom door repair,handle and chitkini both",,,,Woodwork,Bathroom door shutter repair,high,,,,,,
955,,,There are many dengue mosquitoes.,,,,Housekeeping,Mosquito Related Complaint ,low,,,,,,
956,,,Water leakage from the kitchen sink and that water runs down till the dining hall.,,,,Civil,Repairs to kitchen sink,high,,,,,,
957,,,Switch board celling fan light not working,,,,Electrical,Light-not working,low,,,,,,
958,,,Drain pipe line damage ,,,,Civil,Repairs to kitchen sink,high,,,,,,
959,,,Power point socket loose connection ,,,,Electrical,Power point-Broken or loose connection,high,,,,,,
960,,,"Old SRO Yard, near South Gate. Light not working, kindly contact complainer - Manoj Kumar Gope, Phone No- 9534034466",,,,Electrical,Light-not working,low,,,,,,
961,,,No bulb holder in the veranda. ,,,,Electrical,Outhouse/garrage light-Not working,high,,,,,,
962,,,"Every time Main switch gets tripped during lightning and thunder , celing fan and tube light not working after that.",,,,Electrical,Celing fan-Not working,low,,,,,,
963,,,Back drain jam. Due to it water comes in toilet.,,,,Housekeeping,Back Drain Jam,low,,,,,,
964,,,Damage ,,,,Woodwork,Toilet-1 door frame repair,low,,,,,,
965,,,Switch not working ,,,,Electrical,Switch-Loose connection,high,,,,,,
966,,,Bath room side switch board damage ,,,,Electrical,Switch board-Broken,high,,,,,,
967,,,"Hall,4,50/4,,bathroom,uringl, jam",,,,Housekeeping,Bathroom Jam,high,,,,,,
968,,,9234735227,,,,Electrical,Tube light-Not glowing,low,,,,,,
969,,,Fan .not clean,,,,Electrical,Celing fan-start with Jerk,low,,,,,,
970,,,9234735227,,,,Water and Plumbing Work,Improper function of  Wash Basin/Urinal Waste pipe,high,,,,,,
971,,,Unsafe ,,,,Civil,Bathroom floor repair,low,,,,,,
972,,,Exhaust fan clening,,,,Electrical,Exhaust fan-Noise,low,,,,,,
973,,,Daimage ,,,,Civil,Bedroom-2 floor repair,low,,,,,,
974,,,Socket broken,,,,Electrical,Socket-Socket broken,high,,,,,,
975,,,My corridor light holder damage please change now' as soon as possible ,,,,Electrical,Corridor/porch light-Not working,high,,,,,,
976,,,Ceiling plaster anytime falling,,,,Civil,Bathroom ceiling plaster,high,,,,,,
977,,,Light n wkg,,,,Electrical,Light-not working,high,,,,,,
978,,,Need water urgently ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
979,,,Bathroom switch board not working ,,,,Electrical,Switch-Not working,high,,,,,,
980,,,"While using Switch board gets hot 
",,,,Electrical,Switch-Not working,high,,,,,,
981,,,Frequent load shedding. Frequent MCB dropping.,,,,Electrical,No power-Single house,low,,,,,,
982,,,Toilet door handle broken ,,,,Woodwork,Outhouse Toilet door hinge repair,high,,,,,,
983,,,Dry leaves removal,,,,Housekeeping,Garbage Removal,high,,,,,,
984,,,Exhaust fan not working ,,,,Electrical,Exhaust fan-Not working,low,,,,,,
985,,,Door not getting closed ,,,,Woodwork,Bathroom door easing,low,,,,,,
986,,,Ph6 out side,,,,Electrical,Street light-Not working,high,,,,,,
987,,,Switch board damage (1st room & Hall ),,,,Electrical,Switch board-Broken,low,,,,,,
988,,,Water tank is dirty with leafs and sacks water not condition to be used for drinking ,,,,Water and Plumbing Work,Cleaning of Over Head Tank,low,,,,,,
989,,,"Hall,2,mess, gyser, not,wlking",,,,Electrical,Gyser-Not woking,high,,,,,,
990,,,Replacement of the broken sink,,,,Water and Plumbing Work,Brackets for Wash basin (Replacement),low,,,,,,
991,,,In front of the M2 building the road is very dirty.since last 2 months no one has come to clean the road.,,,,Housekeeping,Improper Cleaning,high,,,,,,
992,,,"Toilet flush is leaking,not working properly",,,,Water and Plumbing Work,Other Misc. requests,low,,,,,,
993,,,"Outside toilet door is getting jam and not closing properly...
Please do the needful...",,,,Woodwork,Outhouse Toilet door shutter repair,low,,,,,,
994,,,"Main entrance door is getting jam and not opening properly....
Please do the needful...",,,,Woodwork,Repairs to Main Entrance door,low,,,,,,
995,,,No place to keep things ,,,,Woodwork,Miscellaneous Work,low,,,,,,
996,,,"Outside door (balcony side)  getting jam difficult to close...
Please do the needful...",,,,Woodwork,Outhouse door shutter repair,high,,,,,,
997,,,Bulb holder socket broken at bathroom,,,,Electrical,Socket-Socket broken,high,,,,,,
998,,,Pls arrange garbage removal from the front side and left side ditch of my house. ,,,,Housekeeping,Garbage Removal,low,,,,,,
999,,,Water flow low in wash basin in dining hall,,,,Water and Plumbing Work,Wash Basin to be checked,low,,,,,,
1000,,,Drain water leakage infront of P19 entrance,,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,high,,,,,,
1001,,,Wire shot,,,,Electrical,Light-not working,low,,,,,,
1002,,,No water in block,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
1003,,,N131-3 Room bulb point not available.,,,,Electrical,Light-not working,high,,,,,,
1004,,,Door damage ,,,,Woodwork,Kitchen door frame repair,high,,,,,,
1005,,,Kitchen Basin jam,,,,Housekeeping,Wash Basin Jam,high,,,,,,
1006,,,Broken  floor.Need plastering,,,,Civil,Bedroom-2 floor repair,high,,,,,,
1007,,,No power in one house only ,,,,Electrical,No power-Single house,high,,,,,,
1008,,,The drain has water  logging needs attention,,,,Housekeeping,Back Drain Jam,high,,,,,,
1009,,,Cleaning needed for catch pit,,,,Housekeeping,Catchpit Jam,low,,,,,,
1010,,,9031089164,,,,Woodwork,Bathroom door easing,low,,,,,,
1011,,,Front nali jam with garbage ,,,,Housekeeping,Front Drain Jam,low,,,,,,
1012,,,Jam,,,,Housekeeping,Back Drain Jam,low,,,,,,
1013,,,Entry room ,,,,Electrical,Switch-Switch broken,high,,,,,,
1014,,,Wash basin tape loose,,,,Water and Plumbing Work,Improper function of  Wash Basin/Urinal Waste pipe,high,,,,,,
1015,,,Wire burning smell and smoke  inside switch board and celing fan and tube light not working. During lightning main switch getting tripped every time.,,,,Electrical,Power cable/wire/catenery-Burning smell,high,,,,,,
1016,,,"Kitchen window frame is damaged
 and torn by seapage. Please fix it urgently.",,,,Woodwork,Kitchen window frame repair,high,,,,,,
1017,,,False ceiling getting damage due to seepage it needs to be removed and dry ,,,,Civil,False ceiling - Repair,low,,,,,,
1018,,,Pathway Side area broken. ,,,,Civil,Repairs to approach path ( road to gate ),high,,,,,,
1019,,,Front drain jam,,,,Housekeeping,Front Drain Jam,high,,,,,,
1020,,,Drawing room. 2 celing fan slow running.,,,,Electrical,Celing fan-Slow running,low,,,,,,
1021,,,Mosquito ,,,,Housekeeping,Mosquito Related Complaint ,low,,,,,,
1022,,,Bathroom switch board giving shook,,,,Electrical,Switch-Not working,low,,,,,,
1023,,,Seepage on wall and ceiling of bathroom and latrine from top.,,,,Civil,Repairs to wall seepage of bathroom & latrine,high,,,,,,
1024,,,Kitchen basin water back flushing.not going out of the drain pipe.,,,,Civil,Back Drain Damage,high,,,,,,
1025,,,Elektirek bord not woark aurjent,,,,Electrical,Earthing-no earthing in plug point,high,,,,,,
